scientific_name,family,venomous_status,iucn_status,source,binomial_base,image_count,coverage_status
Oligodon woodmasoni,Colubridae,non-venomous,LC,ZSI-2025,Oligodon woodmasoni,0,MISSING (0)
Opisthotropis maculosa,Colubridae,non-venomous,LC,ZSI-2025,Opisthotropis maculosa,0,MISSING (0)
Plagiopholis blakewayi,Colubridae,non-venomous,LC,ZSI-2025,Plagiopholis blakewayi,0,MISSING (0)
Lycodon tiwarii,Colubridae,non-venomous,LC,ZSI-2025,Lycodon tiwarii,0,MISSING (0)
Lycodon zawi,Colubridae,non-venomous,LC,ZSI-2025,Lycodon zawi,0,MISSING (0)
Oligodon cruentatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon cruentatus,0,MISSING (0)
Oligodon churahensis,Colubridae,non-venomous,NE,ZSI-2025,Oligodon churahensis,0,MISSING (0)
Oligodon catenatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon catenatus,0,MISSING (0)
Oligodon erythrogaster,Colubridae,non-venomous,LC,ZSI-2025,Oligodon erythrogaster,0,MISSING (0)
Oligodon dorsalis,Colubridae,non-venomous,LC,ZSI-2025,Oligodon dorsalis,0,MISSING (0)
Oligodon erythrorhachis,Colubridae,non-venomous,DD,ZSI-2025,Oligodon erythrorhachis,0,MISSING (0)
Oligodon cyclurus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon cyclurus,0,MISSING (0)
Oligodon mcdowelli,Colubridae,non-venomous,LC,ZSI-2025,Oligodon mcdowelli,0,MISSING (0)
Oligodon kheriensis,Colubridae,non-venomous,DD,ZSI-2025,Oligodon kheriensis,0,MISSING (0)
Oligodon juglandifer,Colubridae,non-venomous,LC,ZSI-2025,Oligodon juglandifer,0,MISSING (0)
Oligodon fasciatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon fasciatus,0,MISSING (0)
Lycodon gammiei,Colubridae,non-venomous,DD,ZSI-2025,Lycodon gammiei,0,MISSING (0)
Lycodon deccanensis,Colubridae,non-venomous,NE,ZSI-2025,Lycodon deccanensis,0,MISSING (0)
Lycodon flavicollis,Colubridae,non-venomous,LC,ZSI-2025,Lycodon flavicollis,0,MISSING (0)
Lycodon flavomaculatus,Colubridae,non-venomous,LC,ZSI-2025,Lycodon flavomaculatus,0,MISSING (0)
Liopeltis rappi,Colubridae,non-venomous,LC,ZSI-2025,Liopeltis rappi,0,MISSING (0)
Liopeltis stoliczkae,Colubridae,non-venomous,LC,ZSI-2025,Liopeltis stoliczkae,0,MISSING (0)
Lycodon cathiensis,Colubridae,non-venomous,NE,ZSI-2025,Lycodon cathiensis,0,MISSING (0)
Lycodon chithrasekarai,Colubridae,non-venomous,NE,ZSI-2025,Lycodon chithrasekarai,0,MISSING (0)
Lycodon mackinnoni,Colubridae,non-venomous,LC,ZSI-2025,Lycodon mackinnoni,0,MISSING (0)
Lycodon hypsirhinoides,Colubridae,non-venomous,DD,ZSI-2025,Lycodon hypsirhinoides,0,MISSING (0)
Rhabdophis bindi,Colubridae,mildly venomous,NE,ZSI-2025,Rhabdophis bindi,0,MISSING (0)
Sibynophis bistrigatus,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis bistrigatus,0,MISSING (0)
Oligodon melanozonatus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon melanozonatus,0,MISSING (0)
Oligodon nagao,Colubridae,non-venomous,NE,ZSI-2025,Oligodon nagao,0,MISSING (0)
Oligodon planiceps,Colubridae,non-venomous,LC,ZSI-2025,Oligodon planiceps,0,MISSING (0)
Oligodon venustus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon venustus,0,MISSING (0)
Platyceps karelini,Colubridae,non-venomous,LC,ZSI-2025,Platyceps karelini,0,MISSING (0)
Platyceps plinii,Colubridae,non-venomous,LC,ZSI-2025,Platyceps plinii,0,MISSING (0)
Pseudoxenodon bambusicola,Colubridae,non-venomous,LC,ZSI-2025,Pseudoxenodon bambusicola,0,MISSING (0)
Ahaetulla flavescens,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla flavescens,0,MISSING (0)
Ahaetulla laudankia,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla laudankia,0,MISSING (0)
Ahaetulla fronticincta,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla fronticincta,0,MISSING (0)
Cantoria violacea,Homalopsidae,mildly venomous,LC,ZSI-2025,Cantoria violacea,0,MISSING (0)
Rhinophis sanguineus,Uropeltidae,non-venomous,LC,ZSI-2025,Rhinophis sanguineus,0,MISSING (0)
Trachischium guentheri,Colubridae,non-venomous,LC,ZSI-2025,Trachischium guentheri,0,MISSING (0)
Trachischium laeve,Colubridae,non-venomous,LC,ZSI-2025,Trachischium laeve,0,MISSING (0)
Bitia hydroides,Homalopsidae,mildly venomous,LC,ZSI-2025,Bitia hydroides,0,MISSING (0)
Trachischium fuscum,Colubridae,non-venomous,LC,ZSI-2025,Trachischium fuscum,0,MISSING (0)
Spalerosophis arenarius,Colubridae,non-venomous,LC,ZSI-2025,Spalerosophis arenarius,0,MISSING (0)
Trachischium apteii,Colubridae,non-venomous,NE,ZSI-2025,Trachischium apteii,0,MISSING (0)
Rhinophis punctatus,Uropeltidae,non-venomous,LC,ZSI-2025,Rhinophis punctatus,0,MISSING (0)
Rhinophis melanoleucus,Uropeltidae,non-venomous,NE,ZSI-2025,Rhinophis melanoleucus,0,MISSING (0)
Uropeltis grandis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis grandis,0,MISSING (0)
Sibynophis sagittarius,Colubridae,non-venomous,LC,ZSI-2025,Sibynophis sagittarius,0,MISSING (0)
Rhabdophis nuchalis,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis nuchalis,0,MISSING (0)
Argyrogena vittacaudata,Colubridae,non-venomous,NE,ZSI-2025,Argyrogena vittacaudata,0,MISSING (0)
Ahaetulla pulverulenta,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla pulverulenta,0,MISSING (0)
Ahaetulla perroteti,Colubridae,mildly venomous,LC,ZSI-2025,Ahaetulla perroteti,0,MISSING (0)
Ahaetulla travancorica,Colubridae,mildly venomous,NE,ZSI-2025,Ahaetulla travancorica,0,MISSING (0)
Archelaphe bella,Colubridae,non-venomous,LC,ZSI-2025,Archelaphe bella,0,MISSING (0)
Boiga dightoni,Colubridae,mildly venomous,VU,ZSI-2025,Boiga dightoni,0,MISSING (0)
Boiga gokool,Colubridae,mildly venomous,LC,ZSI-2025,Boiga gokool,0,MISSING (0)
Oligodon nikhili,Colubridae,non-venomous,DD,ZSI-2025,Oligodon nikhili,0,MISSING (0)
Oligodon melaneus,Colubridae,non-venomous,DD,ZSI-2025,Oligodon melaneus,0,MISSING (0)
Rhabdophis leonardi,Colubridae,mildly venomous,LC,ZSI-2025,Rhabdophis leonardi,0,MISSING (0)
Oligodon travancoricus,Colubridae,non-venomous,LC,ZSI-2025,Oligodon travancoricus,0,MISSING (0)
Oligodon theobaldi,Colubridae,non-venomous,LC,ZSI-2025,Oligodon theobaldi,0,MISSING (0)
Oligodon rostripetiolaris,Colubridae,non-venomous,NE,ZSI-2025,Oligodon rostripetiolaris,0,MISSING (0)
Achalinus emilyae,Xenodermidae,non-venomous,NE,ZSI-2025,Achalinus emilyae,0,MISSING (0)
Achalinus jinggangensis,Xenodermidae,non-venomous,DD,ZSI-2025,Achalinus jinggangensis,0,MISSING (0)
Bungarus andamanensis,Elapidae,venomous,VU,ZSI-2025,Bungarus andamanensis,0,MISSING (0)
Bungarus bungaroides,Elapidae,venomous,LC,ZSI-2025,Bungarus bungaroides,0,MISSING (0)
Rhinophis travancoricus,Uropeltidae,non-venomous,VU,ZSI-2025,Rhinophis travancoricus,0,MISSING (0)
Teretrurus hewstoni,Uropeltidae,non-venomous,NE,ZSI-2025,Teretrurus hewstoni,0,MISSING (0)
Teretrurus rhodogaster,Uropeltidae,non-venomous,LC,ZSI-2025,Teretrurus rhodogaster,0,MISSING (0)
Teretrurus travancoricus,Uropeltidae,non-venomous,DD,ZSI-2025,Teretrurus travancoricus,0,MISSING (0)
Uropeltis arcticeps,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis arcticeps,0,MISSING (0)
Uropeltis beddomii,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis beddomii,0,MISSING (0)
Uropeltis bhupathyi,Uropeltidae,non-venomous,NE,ZSI-2025,Uropeltis bhupathyi,0,MISSING (0)
Uropeltis bicatenata,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis bicatenata,0,MISSING (0)
Uropeltis broughami,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis broughami,0,MISSING (0)
Uropeltis dindigalensis,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis dindigalensis,0,MISSING (0)
Pareas berdmorei,Pareidae,non-venomous,NE,ZSI-2025,Pareas berdmorei,0,MISSING (0)
Pareas kaduri,Pareidae,non-venomous,NE,ZSI-2025,Pareas kaduri,0,MISSING (0)
Hydrophis caerulescens,Elapidae,venomous,LC,ZSI-2025,Hydrophis caerulescens,0,MISSING (0)
Hydrophis cantoris,Elapidae,venomous,DD,ZSI-2025,Hydrophis cantoris,0,MISSING (0)
Hydrophis gracilis,Elapidae,venomous,LC,ZSI-2025,Hydrophis gracilis,0,MISSING (0)
Hydrophis fasciatus,Elapidae,venomous,LC,ZSI-2025,Hydrophis fasciatus,0,MISSING (0)
Bungarus walli,Elapidae,venomous,LC,ZSI-2025,Bungarus walli,0,MISSING (0)
Bungarus sindanus,Elapidae,venomous,LC,ZSI-2025,Bungarus sindanus,0,MISSING (0)
Calliophis beddomei,Elapidae,venomous,LC,ZSI-2025,Calliophis beddomei,0,MISSING (0)
Calliophis castoe,Elapidae,venomous,DD,ZSI-2025,Calliophis castoe,0,MISSING (0)
Sinomicrurus gorei,Elapidae,venomous,LC,ZSI-2025,Sinomicrurus gorei,0,MISSING (0)
Bungarus lividus,Elapidae,venomous,LC,ZSI-2025,Bungarus lividus,0,MISSING (0)
Pareas andersonii,Pareidae,non-venomous,LC,ZSI-2025,Pareas andersonii,0,MISSING (0)
Asthenodipsas hexagonotus,Pareidae,non-venomous,LC,ZSI-2025,Asthenodipsas hexagonotus,0,MISSING (0)
Pareas victorianus,Pareidae,non-venomous,NE,ZSI-2025,Pareas victorianus,0,MISSING (0)
Pareas modestus,Pareidae,non-venomous,LC,ZSI-2025,Pareas modestus,0,MISSING (0)
Psammophis condanarus,Psammophiidae,mildly venomous,LC,ZSI-2025,Psammophis condanarus,0,MISSING (0)
Psammophis leithii,Psammophiidae,mildly venomous,LC,ZSI-2025,Psammophis leithii,0,MISSING (0)
Hydrophis stricticollis,Elapidae,venomous,LC,ZSI-2025,Hydrophis stricticollis,0,MISSING (0)
Hydrophis viperinus,Elapidae,venomous,LC,ZSI-2025,Hydrophis viperinus,0,MISSING (0)
Microcephalophis cantoris,Elapidae,venomous,LC,ZSI-2025,Microcephalophis cantoris,0,MISSING (0)
Microcephalophis gracilis,Elapidae,venomous,LC,ZSI-2025,Microcephalophis gracilis,0,MISSING (0)
Ophiophagus kaalinga,Elapidae,venomous,NE,ZSI-2025,Ophiophagus kaalinga,0,MISSING (0)
Naja sagittifera,Elapidae,venomous,LC,ZSI-2025,Naja sagittifera,0,MISSING (0)
Melanophidium bilineatum,Uropeltidae,non-venomous,DD,ZSI-2025,Melanophidium bilineatum,0,MISSING (0)
Indotyphlops porrectus,Typhlopidae,non-venomous,LC,ZSI-2025,Indotyphlops porrectus,0,MISSING (0)
Uropeltis rubrolineata,Uropeltidae,non-venomous,LC,ZSI-2025,Uropeltis rubrolineata,0,MISSING (0)
Indotyphlops pammeces,Typhlopidae,non-venomous,LC,ZSI-2025,Indotyphlops pammeces,0,MISSING (0)
Blythia reticulata,Colubridae,non-venomous,LC,ZSI-2025,Blythia reticulata,0,MISSING (0)
Boiga andamanensis,Colubridae,mildly venomous,LC,ZSI-2025,Boiga andamanensis,0,MISSING (0)
Blythia hmuifang,Colubridae,non-venomous,NE,ZSI-2025,Blythia hmuifang,0,MISSING (0)
Hydrophis obscurus,Elapidae,venomous,LC,ZSI-2025,Hydrophis obscurus,0,MISSING (0)
Hydrophis nigrocinctus,Elapidae,venomous,LC,ZSI-2025,Hydrophis nigrocinctus,0,MISSING (0)
Melanophidium punctatum,Uropeltidae,non-venomous,LC,ZSI-2025,Melanophidium punctatum,0,MISSING (0)
Hydrophis melanosoma,Elapidae,venomous,LC,ZSI-2025,Hydrophis melanosoma,0,MISSING (0)
Hydrophis mamillaris,Elapidae,venomous,DD,ZSI-2025,Hydrophis mamillaris,0,MISSING (0)
Indotyphlops ahsanai,Typhlopidae,non-venomous,DD,ZSI-2025,Indotyphlops ahsanai,0,MISSING (0)
Gerrhopilus andamanensis,Gerrhopilidae,non-venomous,DD,ZSI-2025,Gerrhopilus andamanensis,0,MISSING (0)
Trimeresurus medoensis,Viperidae,venomous,LC,ZSI-2025,Trimeresurus medoensis,0,MISSING (0)
Trimeresurus mayaae,Viperidae,venomous,NE,ZSI-2025,Trimeresurus mayaae,0,MISSING (0)
Craspedocephalus travancoricus,Viperidae,venomous,NE,ZSI-2025,Craspedocephalus travancoricus,0,MISSING (0)
Craspedocephalus strigatus,Viperidae,venomous,LC,ZSI-2025,Craspedocephalus strigatus,0,MISSING (0)
Protobothrops erythrurus,Viperidae,venomous,LC,ZSI-2025,Protobothrops erythrurus,0,MISSING (0)
Gerrhopilus oligolepis,Gerrhopilidae,non-venomous,DD,ZSI-2025,Gerrhopilus oligolepis,0,MISSING (0)
Macrovipera lebetina,Viperidae,venomous,LC,ZSI-2025,Macrovipera lebetina,0,MISSING (0)
Gerrhopilus mcdowelli,Gerrhopilidae,non-venomous,DD,ZSI-2025,Gerrhopilus mcdowelli,0,MISSING (0)
Gerrhopilus beddomii,Gerrhopilidae,non-venomous,LC,ZSI-2025,Gerrhopilus beddomii,0,MISSING (0)
Indotyphlops meszoelyi,Typhlopidae,non-venomous,DD,ZSI-2025,Indotyphlops meszoelyi,0,MISSING (0)
Indotyphlops lazelli,Typhlopidae,non-venomous,DD,ZSI-2025,Indotyphlops lazelli,0,MISSING (0)
Indotyphlops jerdoni,Typhlopidae,non-venomous,LC,ZSI-2025,Indotyphlops jerdoni,0,MISSING (0)
